Company Name,size,employees_count,followers,founded,description
360 Mining,50,11,771,2020,360 Mining is part of the Raisebore Australia Group of companies and aims to provide safe productive and professional services to the mining industry
360 Screens,0,0,0,3000,A small but professionally run local business from Melton we take pride in giving our clients a personalised guide regarding your home improvement We offer friendly and professional no obligation advice which will help you make an efficient decision easily All our products are sourced from suppliers right here in Melbourne so you can be assured they are of the highest quality Call us on 0423 463 934 to make an appointment for your free measure and quote
3A Garage Door,0,3,0,3000,3A Garage Door is a mining metals company based out of 120A Chermside Rd East Ipswich Australia
3B Fabrications PTY LTD,10,0,10,2016,3B Fabrications design engineer certify and Manufacture equipment for the Underground Mining Industry From single units to full project management Supporting the coal industry with designs that improve safety and productivity and help reduce manual handling issues n n3B also repair certify and reverse engineer equipment already in use 3B have been directly involved in the design and manufacture of industry leading equipment currently in use in the underground coal mining industry n nServices include nDesign Drafting Engineering and Manufacture of fabricated equipment for Mining Civil and Construction Repairs and certified modifications to Mining Equipment Servicing auditing and commissioning of Mining Equipment Full Blast and Paint service Reverse Engineering of existing equipment in service Supply of Plant Safety Files for new and refurbished equipment
3D Earthmoving 2017 ABN 58 614 457 500,0,3,0,3000,3D Earthmoving 2017 ABN 58 614 457 500 is a mining metals company based out of 18 Craig Rd West Kalgoorlie Australia
3D POWDER COATING,0,2,0,3000,3D POWDER COATING is a mining metals company based out of 10 1 Box Rd Caringbah Australia
3D Resources Ltd,50,0,93,3000,3D Resources Limited is a minerals explorer targeting high value commodities gold copper lead zinc and nickel across Australia with a particular focus on Gold and owns the Adelong Goldfield in New South Wales NSW together with advanced mineral projects in Western Australia WA n nIn May 2020 3D Resources took control of the Adelong Gold Project which covers 70km2 comprising the old Adelong Goldfield situated in Southern NSW located approximately 20km from Tumut and 80km from Gundagai n nThe project now carries a JORC 2012 Resource following the Resource upgrade in August 2020 of 180 600 oz of gold and 17 freehold properties with all mining and processing plant equipment onsite Until recently Adelong was a producing mine
3E Steel Pty Limited,0,0,0,2009,3E Steel Pty Limited is a mining metals company based out of LEVEL 4 53 55 LIVERPOOL ST Sydney New South Wales Australia
3P International Holdings Pty Ltd,0,0,0,2014,3P International Holdings Pty Ltd is a mining metals company based out of North Sydney New South Wales Australia
3d Letters Australia,0,0,0,3000,3d Letters Australia is a mining metals company based out of 2 14 Aristotle Cl Golden Grove Australia
4 DRAGONS GOLD PTY LTD,0,0,0,3000,4 DRAGONS GOLD PTY LTD is a mining metals company based out of 1 Starlight Pass Seville Grove Australia
42 Mining Pty Ltd,10,0,13,2015,42 Mining Pty Ltd was created to provide its clients with end to end mining project solutions We bring broad experience across multiple n commodities n technologies n geological settings n mining styles n processing options n project development pathways n financial metrics n nWe provide advice and support to n explorers n project developers n miners n financiers n n42 Mining gives our clients with a better understanding of their mining project allowing them to maximise its benefits and outcomes and reduce its risks by providing advice and support for the following n Mineral and coal exploration projects n Review of mining and exploration projects n Conceptual feasibility studies n Whole of Project review n nOur principal Justin Haines has geological and mining qualifications and brings this diverse experience to your project to provide intuitive and lateral solutions Knowing when to bring in specialist expertise is important 42 Mining has a network of tried and proven specialists that can facilitate project completion including n Geologists n Engineering Geologists n Hydrogeologists n Environmental Specialists n Mining Engineers n Geotechnical Engineers n Process Engineers n Mechanical Engineers
4D Delta,50,11,83,2014,4D Delta is Australia s leading asset inspection company specialising in remote sensing data capture and analysis Our people technology and innovative Remote Asset Inspection solutions put us at the fore of asset maintenance and optimisation in the Mining and Resources Sector n nWe enable our clients to gain greater control of their asset maintenance issues resulting in increased performance reduced costs and elimination of high risk work Combined with our innate understanding of the drivers of asset reliability we work closely with our clients to identify key issues and analyse root causes for the purpose of developing true Preventative Maintenance programs
4th AXIS Machining,10,0,0,2018,Our CNC cutting molding machines have razor sharp tolerances within 0 1 mm We provide on demand supply that helps you to effectively manage inventory cost and demand volatility
5 Sticks Consulting,10,2,54,2018,Occupational Hygiene consulting nWorking extensively in a variety of industries including mining and resources sectors and having a comprehensive understanding of occupational health and hygiene management principles in a variety of environments
7 Star Aluminium,0,0,0,3000,7 Star Aluminium is a mining metals company based out of 2 144 Hume Hwy Somerton Australia
7 Steel Building Solutions,0,0,0,3000,All shop drawings are produced on AutoCAD by a team of trained steel detailers For major projects we use Tekla X Steel which provides not only CAD drawings but NC files to program beam lines for millimetre perfect precision
7D Team,10,5,70,2017,7D Team is a research and development solutions provider for the resources industry Our mission is to set a new standard in the resources industry by designing high performing resource equipment that is both safe and sustainable
7Steel Building Solutions Pty Ltd,0,0,4,2006,7 Steel Building Solution is taking steel fabrication to the next level We have a solid commitment not only to produce quality work but also to provide the best service in the industry
888 Crushing and Screening Equipment Pty Ltd,50,7,598,2009,888 Crushing Screening Equipment 888CSE is proudly owned and operated by experienced members in the industry We distribute McCloskey International MWS Equipment RUBBLE MASTER RM GO Lippmann Milwaukee and Superior Industries crushing screening and stockpiling equipment as well as CEMCO VSI Crushers n nRUBBLE MASTER RM GO Superior Industries Conveyors Lippmann Crushers and Cemco VSI Crushers are supplied on a national Australia wide basis with representation and service support in all states and territories Other brands from 888cse are exclusively distributed in WA SA and NT only n nWith our vast industry knowledge we understand the value of efficiency and functionality in the machinery we supply Whether you are purchasing or hiring our screening crushing and stockpiling equipment your industrial requirements will be met technically and economically Our parts and service depots are conveniently located in Perth WA Adelaide SA and Darwin NT We carry one of the largest spares and wear parts stocks in Australia for not only our own range of equipment but many other brands Additional service and spares support is provided through approved partners in all other states To assist with our clients confidential quotes and tenders we can also provide a detailed flow sheet analysis of plant selection along with estimations for maintenance and running costs n nContact us today for a comprehensive all inclusive service
888 Resources Limited,0,0,0,3000,888 Resources Limited is a mining metals company based out of 72 CANNING HIGHWAY SUITE 6 Victoria Park Western Australia Australia
89s,0,0,0,3000,we have the expertise to get it right the first time Our team of mobile technicians will get you back on track fast You will have peace of mind knowing your repaired garage door will operate smoothly and efficiently 89 Enterprises offers prompt
9 Box Mining Productivity,1,0,0,2013,Productivity Accounting has a definite application in the mining industry nIt provides a break down of the Profit dollars into the portion achieved from Productivity and the contribution from Price Recovery This allows for the true determination of the dollar amounts coming from changes in Productivity and from changes in Prices
92 Energy Limited,10,4,226,2021,92 Energy Limited is a uranium exploration company searching for high grade unconformity type uranium in the Athabasca Basin in Canada We will be listing on the ASX in early 2021
none,1,200,673,2009,none
A A Industrial Cladding Pty Ltd,0,0,0,3000,A A Industrial Cladding Pty Ltd is a mining metals company based out of 9 Irvinebank Rd Mount Low Australia
A E Metal Merchants,0,0,0,3000,A E Metal Merchants is a mining metals company based out of 3 149 Castlereagh St Sydney Australia
A L Fabrications,0,0,0,3000,A L Fabrications is a Western Australian family owned and operated steel fabrication business that prides itself on providing high quality products and services to customers Established in 1998 by Andrew and Lisa Downey the steel fabrication business caters for extensive steel and welding needs from custom made float yards trailers show jumping equipment and on site welding
A Class Metals,0,0,0,3000,A Class Metals is your one stop fabrications shop We offer comprehensive service including design and quoting to fabrication and installation With over 80 years combined experience there s no job too customised or too challenging for us
A Class Powdercoating,0,0,0,3000,A Class Powdercoating is a mining metals company based out of 39 Cochranes Rd Moorabbin Australia
A Grade Garage Doors Perth Shutters Gates,0,0,0,3000,A Grade Garage Doors Perth Shutters Gates is a mining metals company based out of 34 Welshpool Rd Welshpool Australia
A H TRANSPORT LIMITED,0,0,0,3000,A H TRANSPORT LIMITED is a mining metals company based out of LOT 20 Lower Boro Rd Boro 鏂板崡濞佸皵澹窞 Australia
A L Metal Industries Pty ltd,0,3,0,3000,A L Metal Industries Pty ltd is a mining metals company based out of 2 187 Fairfield Rd Guildford West Australia
A P Delaney,0,0,0,3000,A P Delaney is the largest and most successful civil engineering and earthmoving company in the Albury and Wodonga area Since 1960 the company has built a reputation for efficiency expertise and reliability based on an effective management team a skilled and stable workforce and a comprehensive range of modern reliable earthmoving equipment We have completed a wide array of civil and earthmoving projects in the Albury and Wodonga region With over 50 years of experience you can rely on A P Delaney for a high level of customer service while also completing your civil or earthmoving project on time and to budget Give us a call today for a free quote on all civil and earthmoving services in Albury or the surrounding area
A R M Balustrade Pty Ltd,0,0,0,3000,A R M Balustrade Pty Ltd is a mining metals company based out of 70A Christian Rd Punchbowl Australia
A SINCLAIR WELDING LTD,0,0,0,2012,A SINCLAIR WELDING LTD is a mining metals company based out of LOCH AWE HOUSE Tarbert Argyll United Kingdom
A A Electroplaters,0,0,0,3000,A A Electroplaters is a mining metals company based out of 177 Ordish Rd Dandenong South Australia
A B Mylec PTY LTD,200,12,73,1995,A B Mylec Pty Ltd was formed in 1995 to provide metallurgical process engineering and coal technology expertise to the Australian mining industry The head office of the company is located in Rockhampton Queensland Australia with an additional office located in Brisbane Apart from serving the Australian coal mining industry the company undertakes metallurgical and coal quality evaluation work in South Africa Mozambique Botswana Mongolia Indonesia Canada Colombia Japan Taiwan Russia and the USA n nA B Mylec have office locations in n nRockhampton Queensland Australia n nSpring Hill Brisbane Queensland Australia n nA B Mylec offers a range of services including exploration sample treatment procedure design and analysis program management including data validation resource and coal quality evaluation product characterisation due diligence assessment plant and circuit simulation and design project management project contract reviews including custom process design criteria and performance guarantee elements contract metallurgical services including plant efficiency audits and plant commissioning sampling plant NATA certification combustion and utilisation technology services Our suite of services span the earliest stages of mine site development and evaluation incorporate all stages of project investigation and feasibility through to detailed process design implementation market definition and support Add information technology services and A B Mylec is always ready to assist you with your problem solving needs
A B Mylec Pty Ltd,50,22,390,1995,A B MYLEC Pty Ltd was formed in 1995 to provide metallurgical process engineering and coal technology expertise to the Australian mining industry The main office of the company is located in Rockhampton Queensland Australia with additional offices located in Brisbane Australia and Pittsburgh USA Apart from serving the Australian coal mining industry the company undertakes metallurgical and coal quality evaluation work in South Africa Mozambique Botswana Mongolia Indonesia Canada Colombia and the USA n nA B MYLEC offers a range of services including exploration sample treatment procedure design and analysis program management including data validation resource and coal quality evaluation product characterisation due diligence assessment plant and circuit simulation and design project management project contract reviews including custom process design criteria and performance guarantee elements contract metallurgical services and is always ready to assist you with your problem solving needs Our gamut of services span the earliest stages of mine site development and evaluation incorporate all stages of project investigation and feasibility through to detailed process design implementation market definition and support
A Line Garage Doors,0,0,0,3000,A Line Garage Doors is a mining metals company based out of 14 Lawson St Wagga Wagga Australia
A justa foot,0,0,0,3000,A justa foot is a mining metals company based out of 12 Sandringham Ave Thornton Australia
A G SHEETMETAL FABRICATORS PTY,0,0,0,3000,A G SHEETMETAL FABRICATORS PTY is a mining metals company based out of 21 Jesica Rd Campbellfield Australia
A Levis Sons Water Well Drillers,1,0,8,1950,Specialists in hard rock drilling
A M Bolts Nuts,0,0,0,3000,A M Bolts Nuts is a mining metals company based out of 15 McDonald Cres Bassendean Australia
A Peter Kendall,0,0,0,3000,A Peter Kendall is a mining metals company based out of 2 1 2 East Spur Ct Kilsyth South Australia
A T Hydraulics Qld Pty,0,0,0,3000,A T Hydraulics Qld Pty is a mining metals company based out of 93 PEARSON RD Yatala Queensland Australia
A C Steel Construction All,0,0,0,3000,A C Steel Construction All is a mining metals company based out of 60 Bridge Rd Keysborough Australia
A C B ATLANTIC CONCEPT BOIS LIMITED,0,0,0,2006,A C B ATLANTIC CONCEPT BOIS LIMITED is a mining metals company based out of DEVON TQ2 5EL Torquay United Kingdom
A I Martin Associates,10,0,0,1999,A I Martin Associates provides occupational safety and health consulting services to the mining industry local business and government We specialise in systems development implementation legal compliance and operational auditing risk management incident investigation and performance improvement programs
A P B Steel Fabrications,0,0,1,3000,A P B Steel Fabrications is a mining metals company based out of 42 AUSTIN AVE Wa Western Australia Australia
A R T Airconditioning Mount Isa,0,0,0,3000,Initially providing domestic and commercial air conditioning and ducting installation A R T has grown significantly and alongside sister business Bear Instrumentation provides quality air conditioning electrical ducting sheet metal fabrication specialised industrial mining automation and instrumentation installations service and maintenance solutions to the mining government industrial commercial and retail sectors
A S A D Signs,0,0,0,3000,A S A D Signs is a mining metals company based out of 15 21 Eugene Terrace Melbourne Australia
A1 Consolidated Gold Ltd,0,3,0,3000,Not Provided
A1 Finishes,0,0,0,3000,A1 Finishes is a mining metals company based out of 10 8 12 Cooper St Smithfield Australia
A1 Hydraulic Engineering,0,0,0,3000,A1 Hydraulic Engineering is a mining metals company based out of 30 Corymbia Pl Parkinson Australia
A1 Metal Mesh Screens,0,0,30,3000,Not Provided
A1 Sandblasting Spraypainting,0,0,0,3000,A1 Sandblasting Spraypainting is a mining metals company based out of 2 Newton St Robinson Australia
A1 Vitamins and Minerals,0,0,0,3000,Not Provided
A2B Crushing Screening PTY LTD,50,0,49,3000,We are your ONE STOP SHOP for aftermarket Spare Parts for the Quarry Mining Industry n nHere at A2B Crushing Screening we are just like our name states we supply spare parts from A and deliver to B with a matter of Urgency n nThe one thing we PRIDE ourselves on is our excellent customer service nThe one thing we VALUE ourselves on is understanding the urgency of service especially in the Quarry Mining industry n nHere at A2B Crushing Screening We Keep You Going
A2Z Sheetmetal,0,6,0,3000,A2Z Sheetmetal is a mining metals company based out of 1 Enterprise St Kunda Park Australia
AA Global Resources Pty Ltd,0,0,0,3000,Not Provided
AAA Door Systems,0,0,0,3000,AAA Door Systems is a mining metals company based out of 34 Hogan Ave Mount Warrigal Australia
AAA Engineering,0,24,148,3000,Not Provided
AAA Mining Consumables,10,0,11,3000,AAA Mining Consumables are an Australian Mining Consumables Distributor located in Mackay next to the Bowen Basin n nMining consumables supplied include service line bracketry and other products for coal and hard rock underground mining operations oil and gas exploration n nThey specialise in custom high quality Tungsten Carbide and Polycrystalline Diamond Compact PDC drill bits with required quantities and sizes made to order n nAll hanging bracketry rod mount and FRAS rubber products manufactured by AAA Mining Consumables have NATA certification
AAJAY Sanblasting,0,0,0,3000,AAJAY Sanblasting is a mining metals company based out of 199 Liverpool Rd Kilsyth Australia
AAKKA MINING CIVIL,50,0,30,3000,Not Provided
AAMG,50,18,1866,3000,AAMG is committed to understanding our clients every need and assisting them to define their Asset Management goals both short and long term nThrough completing a thorough assessment of your assets AAMG will support you to unlock your business s full potential and deliver greater safety and financial results
AB Downs Industries,0,0,0,3000,AB Downs Industries is a mining metals company based out of 4 981 Mountain Hwy Boronia Australia
AB Industries Australia,50,0,2,1987,We at AB Industries are an Australian manufacturing business with over 30 years of experience out of Adelaide South Australia n nTogether with our up to date manufacturing technology located in the northern suburbs of Adelaide we offer Australian OS industries in manufacture a service that is not only efficient and reliable but strictly committed to quality standards on each of our customer s products n nWe specialize in manufacturing supplies for Plumbing Fencing Mining Electrical Gas and Construction companies fabricating everything from small brackets and steel cages to wood fire flue kits and much more n nWe at AB Industries focus on customer individual needs to ensure you receive both quality customer service and efficiency
AB Power Pty Ltd,50,0,3,2010,AB Power are project delivery specialists that pride themselves on their ability to deliver full turnkey solutions ranging from temporary power installations for greenfield projects through to large site project works ongoing plant maintenance and breakdowns We are the Go To company for all mine site nproject solutions throughout the Bowen Basin nThe AB Power business comprises 3 specialist divisions n AB Power Electrical n AB Power Civil n AB Power Generation nWe are a small to medium sized locally owned and operated enterprise expanding our local noperations to enable continued growth Being local allows us to react quickly to market place nconditions maintaining flexibility and competitiveness in the industry whilst providing more cost effective solutions for our clients We have the ability to find people quickly to provide high customer nsatisfaction from getting the job done now nAB Power is a contract principal who has multiple years of experience across numerous mine sites nincluding various project management of contracts ranging from 50 000 to 10m These projects ninclude overseeing mobilisation construction installation commissioning and handover of the projects nincluding underground cooling plants dewatering projects Kestrel and Curragh Mines HV shutdowns nimplementing full mine operation generator solutions floxal unit concrete projects etc
AB Tooling,0,0,0,3000,AB Tooling is a mining metals company based out of 2 20 Melrich Rd Bayswater Australia
ABA Resources,50,0,43,2017,ABA Resources Pty Ltd ABA is an Australian Gold Exploration Development Company Our vision is to develop a contemporary and sustainable mining company focused on the historic Omeo goldfields of Victoria n nWe are led by a team with demonstrably deep mining capability and plan to join Victoria s mining renaissance by bringing a contemporary safe and sustainable approach to the historic goldfields in the Omeo District n nOur projects are located in an under explored mineral rich area in a safe jurisdiction We own the license to the Mt Wills Gold Mines Mt Wills near Omeo along with several exploration licenses in the Cassilis region The mining and exploration rights cover an extensive area of approx 263 square kilometres with the tenements having a rich gold producing history n nWe re developing long term resources driven by our Values of Safety and Sustainability Problem Solving and Pride
ABBA Welding Services,50,2,46,1991,ABBA Welding Services offers a range of products and services that cater for industrial solutions A combination of metals fabrication mobile welding polyethylene piping and dewatering specialities allow us to be recognised for providing exceptional solutions to the complex demands of the world s leading mining companies n nBy developing a high level of specialised services we provide our Clients with a depth of expertise and experience At ABBA Welding Services we promise the absolute best service with a complete range of equipment with mobile work trucks and a modern workshop From the largest mining projects to private agricultural innovations our solutions are designed to deliver clearly defined benefits n nWe deliver the most innovative range of services when it comes to plastics and steel and dewatering projects Evidenced by the development of large tailings dams underground pipe relocations and welding ABBA Welding Services has the expertise and resources to help you achieve your strategic objectives n nWe pride ourselves with having the latest training technology and equipment within the Goldfields having with the largest range of poly parts and accessories All staff are trained and Certified in different aspects of our field from Poly Butt Welders Heavy Light gauge Boilermakers MIG TIG welding and Electro Fusion to name a few n nIt is our dedication to fulfil each Clients needs that allows us to exceed your expectations and successfully deliver quality projects on time
ABC Aluminium Brass Copper Kermeen Co,0,0,0,3000,ABC Aluminium Brass Copper Kermeen Co is a mining metals company based out of 996 Norman St Wendouree Australia
ABC LASERS PTY LTD,0,0,6,3000,ABC LASERS PTY LTD is a mining metals company based out of Po Box 343 Acacia Ridge Queensland Australia
ABC Refinery,200,18,1268,1978,ABC Refinery has been involved in the refining and processing of precious metals for primary gold and silver producers and the secondary market in Australia since 1978 ABC Refinery is the exclusive producer of ABC Bullion product which has become one of the cornerstones of the Australian physical gold trading system r n r nABC Refinery employs proprietary aqua regia electrolytic electro parting and chlorination refining methodologies to refine Gold and Silver to four nines standard and services private and publicly listed miners producers corporations as well as government agencies r n r nABC Refinery offers the following services r n Refining r n Receipt Sampling r n Assaying r n Fabrication r n Finance Storage r n r nABC Refinery Fabricated Products include r n Cast Ingots r n Minted Coins r n Minted Bars r n Fine Granules r n Custom Coins Bars r n r nThe ABC Refinery laboratory is the only Australian refinery laboratory to have been awarded National Association of Testing Authorities NATA accreditation for the laboratory analysis of gold silver and their alloys r n r nThe ABC Refinery laboratory is also accredited as a Public Testing Service compliant with ISO International Organization for Standardization and IEC International Electrotechnical Commission Standard 17025 2005 for the analysis of gold silver and their alloys In addition ABC Refinery is accredited as compliant with Australian Standards AS and ILAC International Laboratory Accreditation Cooperation
ABC Specialty Metals,0,0,0,3000,ABC Specialty Metals is a mining metals company based out of 80 82 Hallam S Rd Hallam Australia
ABEH Pty Ltd,0,0,0,2001,ABEH Pty Ltd is a mining metals company based out of Duncraig Western Australia Australia
ABI Coating Specialists Pty Ltd,0,2,0,3000,ABI Coating Specialists offers a wide range of Specialised Light industrial and heavy industrial Paint coatings and customised Paint systems for most types of industry ABI Coating specialists is controlled by highly experienced business managers and senior operational staff each with more than 20 years in the industry
ABM Contractors Pty Ltd,200,24,305,2000,ABM Contractors Pty Ltd is an Underground Mining Contractor which was founded in 2000 by Keven Abraham r n r nABM s core work is Secondary Support and Ventilation Installation but also specialises in Fault Drivage Fall Recovery Belt and Drive head installations and Underground roadworks and road recovery s r n r nABM comes with a strong hard rock background through Keven Abraham who started his underground career in the 70 s in New Zealand s Turangi tunnels From here Keven then relocated to Australia and followed the hard rock circuit all over Australia Cobar Mudgee Cook town Snowy mountains Perisher Proserpine and the list goes on r nKeven was also Superintendent at the Eastern Distributor tunnel in Sydney r n r nABM is based in Emerald Qld and currently holds contracts at Kestrel North and Kestrel South mines and BMA Crinum mine all in Emerald r n r nABM currently employees approximately 140 people across all sites and head office r n r nABM are proud of all our people across all sites who all strive to be the best at what they do and consider ourselves a contractor who gives value for money and strive to have the best safety record s on the sites the we work
ABM Metal Detectors PTY Ltd,0,2,4,3000,Not Provided
ABM Resources,1,0,306,3000,ABM Resources NL has changed name to Prodigy Gold NL completed the transition to a renewed strategic direction for the Company that focuses on accelerating the testing of its high quality gold exploration targets in the Northern Territory s Tanami region n nThis page will no longer be maintained
ABRA Aluminium,50,2,12,1986,ABRA Products was established in Brisbane in 1986 and purchased by current owners directors Don and James Allen in 1991 Collectively they have in excess of 50 years of experience in engineering and aluminium fabrication In the late 1990s James and Don realised that the industry in general was being poorly serviced and the combination of customer care and supplier support was almost non existent Understanding the importance of customer service ABRA Metals was created to provide a more supportive and streamlined service to the Aluminium industry In 2011 ABRA Products and ABRA Metals merged into the amalgamated force now known as ABRA Aluminium
ABRASIFLEX PTY LTD,10,20,80,3000,Abrasiflex is an industry leading supplier of industrial abrasives We specialise in the distribution and sale of an extensive product range for the wholesale
ABS Fabrications,0,0,0,3000,ABS Fabrications is a mining metals company based out of Steel Fabrication M factrs Unit 3 21 Durham Rd Bayswater Australia
ABS Mobile Welding,0,0,2,3000,ABS Mobile Welding is a mining metals company based out of UNIT 2 19 BEALE WAY Rockingham Western Australia Australia
AC Industries PTY LTD,200,12,581,1992,We are Australia s leading manufacturer and global supplier of high quality best practice low leakage mine ventilation ducting systems n nWith over 20 years industry experience we understand the challenges of the underground mining industry and offer solutions that work Through systematic design and our highly mechanised manufacturing plant we efficiently deliver consistently high quality innovative product ranges that set the benchmark for safety air delivery and performance n nWe are committed to providing best practice ducting systems that optimise mine productivity through increased air flows more effective harmful contaminant dilution as well as increased product service life n nVisit www ac ind com for more information
