Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
SCCO US Equity,SOUTHERN COPPER,US,Common Stock,135.44B,17.34B,30.26B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,Copper Mining
FCX US Equity,FREEPORT-MCMORAN,US,Common Stock,97.82B,38.61B,88.68B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,--
GMEXICOB MM Equity,GRUPO MEXICO-B,MX,Common Stock,85.55B,24.52B,59.64B,32k,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,Copper,Copper Smelting & Refining
GLEN LN Equity,GLENCORE PLC,CH,Common Stock,75.87B,350.26B,210.93B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
CCO CN Equity,CAMECO CORP,CA,Common Stock,57.18B,3.47B,11.13B,--,Alternative Energy,Alternative Fuels,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Base Metals,Uranium,--
1378 HK Equity,CHINA HONGQIAO,CN,Common Stock,49.08B,32.91B,50.76B,52k,Industrial Metals and Mining,Aluminum,Metals & Mining,Aluminum,Metals & Mining,Base Metals,Aluminum,--
ANTO LN Equity,ANTOFAGASTA PLC,CL,Common Stock,46.81B,10.03B,36.60B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,Copper Mining
HZ IN Equity,HINDUSTAN ZINC,IN,Common Stock,32.95B,6.00B,6.46B,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
VEDL IN Equity,VEDANTA LTD,IN,Common Stock,30.66B,27.35B,38.08B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
TECK/B CN Equity,TECK RESOURCES-B,CA,Common Stock,29.02B,10.03B,52.85B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
HNDL IN Equity,HINDALCO INDS,IN,Common Stock,28.75B,43.28B,49.83B,23k,Industrial Metals and Mining,Aluminum,Metals & Mining,Aluminum,Metals & Mining,Base Metals,Aluminum,Aluminum Smelting & Refining
2600 HK Equity,ALUMINUM CORP-H,CN,Common Stock,27.55B,49.96B,47.83B,--,Industrial Metals and Mining,Aluminum,Metals & Mining,Aluminum,Metals & Mining,Base Metals,Aluminum,--
FM CN Equity,FIRST QUANTUM,CA,Common Stock,24.78B,7.28B,38.98B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,Copper Mining
SPCCPI1 PE Equity,SOUTHERN CP-INV1,PE,Common Stock,23.20B,6.98B,13.04B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,--
CVERDEC1 PE Equity,SOCIEDAD MINERA,PE,Common Stock,21.71B,6.43B,12.99B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,--
010130 KS Equity,KOREA ZINC CO,KR,Common Stock,20.44B,13.40B,16.18B,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
603799 CH Equity,ZHEJIANG HUAYO-A,CN,Common Stock,20.27B,12.84B,30.25B,--,Industrial Metals and Mining,Nonferrous Metals,Electrical Equipment,Electrical Components & Equipment,Metals & Mining,Base Metals,--,--
