Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
8031 JP Equity,MITSUI & CO,JP,Common Stock,110.96B,147.65B,179.70B,--,Industrial Support Services,Industrial Suppliers,Trading Companies & Distributors,Trading Companies & Distributors,Steel,Metal Svc Centers & Processors,--,--
JSTL IN Equity,JSW STEEL LTD,IN,Common Stock,47.26B,30.64B,45.10B,16k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
NUE US Equity,NUCOR CORP,US,Common Stock,46.39B,46.61B,54.87B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
MT NA Equity,ARCELORMITTAL,LU,Common Stock,45.60B,94.70B,144.52B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
TATA IN Equity,TATA STEEL LTD,IN,Common Stock,36.84B,39.35B,52.34B,43k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
5401 JP Equity,NIPPON STEEL COR,JP,Common Stock,35.53B,87.56B,116.97B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
600019 CH Equity,BAOSHAN IRON &-A,CN,Common Stock,32.06B,67.88B,80.82B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
STLD US Equity,STEEL DYNAMICS,US,Common Stock,31.08B,26.60B,24.15B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
TEN IM Equity,TENARIS SA,LU,Common Stock,28.44B,18.99B,33.06B,--,"Oil, Gas and Coal",Oil Equipment and Services,Energy Equipment & Services,Oil & Gas Equipment & Services,Steel,Steel Producers,"Long, Pipe & Tubular",Pipe & Tubular
005490 KS Equity,POSCO HOLDINGS I,KR,Common Stock,24.87B,80.81B,113.07B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
RS US Equity,RELIANCE INC,US,Common Stock,22.96B,20.98B,16.20B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Metal Svc Centers & Processors,Steel Processors,--
600010 CH Equity,INNER MONGOLIA-A,CN,Common Stock,22.96B,14.35B,34.36B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
JINDALST IN Equity,JINDAL STEEL LTD,IN,Common Stock,18.36B,9.03B,16.08B,6k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
CRS US Equity,CARPENTER TECH,US,Common Stock,18.13B,4.45B,5.30B,5k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
2002 TT Equity,CHINA STEEL CORP,TW,Common Stock,15.32B,17.03B,34.27B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
000708 CH Equity,CITI PACIFIC S-A,CN,Common Stock,13.50B,23.01B,24.60B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,Specialty Metals,--
TKA GR Equity,THYSSENKRUPP AG,DE,Common Stock,12.91B,57.63B,47.13B,94k,General Industrials,Diversified Industrials,Metals & Mining,Steel,Steel,Steel Producers,--,--
HPG VN Equity,HOA PHAT GRP JSC,VN,Common Stock,12.90B,8.41B,14.24B,32k,General Industrials,Diversified Industrials,Metals & Mining,Steel,Steel,Steel Producers,--,--
5411 JP Equity,JFE HOLDINGS INC,JP,Common Stock,12.41B,48.94B,60.37B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
LLOYDSME IN Equity,LLOYDS METALS,IN,Common Stock,11.97B,1.22B,1.76B,2k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
TIINDIA IN Equity,TUBE INVESTMENTS,IN,Common Stock,11.09B,3.53B,2.99B,3k,Industrial Metals and Mining,Metal Fabricating,Automobile Components,Automotive Parts & Equipment,Steel,Steel Producers,"Long, Pipe & Tubular",--
JDSL IN Equity,JINDAL STAINLESS,IN,Common Stock,11.04B,7.07B,6.77B,5k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
CMC US Equity,COMMERCIAL METAL,US,Common Stock,9.87B,12.08B,10.09B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
BSL AU Equity,BLUESCOPE STEEL,AU,Common Stock,9.84B,16.29B,15.78B,17k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
SAIL IN Equity,STEEL AUTHORITY,IN,Common Stock,9.68B,18.46B,25.55B,53k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
VOE AV Equity,VOESTALPINE AG,AT,Common Stock,9.47B,25.92B,27.26B,50k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
047050 KS Equity,POSCO INTERNATIO,KR,Common Stock,9.37B,35.96B,18.96B,--,Industrial Support Services,Industrial Suppliers,Trading Companies & Distributors,Trading Companies & Distributors,Steel,Metal Svc Centers & Processors,--,--
000932 CH Equity,HUNAN VALIN ST-A,CN,Common Stock,9.31B,30.49B,32.81B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
CLF US Equity,CLEVELAND-CLIFFS,US,Common Stock,8.71B,29.10B,33.87B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,Flat Rolled,--
SSABA SS Equity,SSAB-A,SE,Common Stock,8.53B,14.83B,16.17B,15k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,Flat Rolled,--
688122 CH Equity,WESTERN SUPERC-A,CN,Common Stock,8.05B,972.02M,3.01B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Diversified Metals & Mining,Steel,Steel Producers,Specialty Metals,--
000959 CH Equity,BEIJING SHOUG-A,CN,Common Stock,7.57B,22.83B,29.21B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,Flat Rolled,--
EREGL TI Equity,EREGLI,TR,Common Stock,7.42B,9.43B,19.44B,12k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
5406 JP Equity,KOBE STEEL LTD,JP,Common Stock,7.35B,25.73B,30.90B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
SIMECB MM Equity,GRUPO SIMEC-B,MX,Common Stock,7.10B,2.80B,5.68B,5k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
600126 CH Equity,HANGZHOU IRON-A,CN,Common Stock,6.73B,13.42B,7.31B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
VK FP Equity,VALLOUREC,FR,Common Stock,6.55B,6.62B,9.25B,13k,"Oil, Gas and Coal",Oil Equipment and Services,Energy Equipment & Services,Oil & Gas Equipment & Services,Steel,Steel Producers,"Long, Pipe & Tubular",Pipe & Tubular
5444 JP Equity,YAMATO KOGYO,JP,Common Stock,6.45B,1.69B,7.03B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
600282 CH Equity,NANJING IRON-A,CN,Common Stock,6.37B,13.03B,15.31B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
ICHB MM Equity,INDUS CH SAB-B,MX,Common Stock,6.15B,3.19B,6.39B,6k,Industrial Metals and Mining,Metal Fabricating,Metals & Mining,Steel,Steel,Steel Producers,--,--
000629 CH Equity,PANGANG GROUP -A,CN,Common Stock,5.72B,2.78B,3.29B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,Specialty Metals,--
600808 CH Equity,MAANSHAN IRON-A,CN,Common Stock,5.58B,17.24B,17.49B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
000709 CH Equity,HESTEEL CO LTD-A,CN,Common Stock,5.50B,25.63B,59.61B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
004020 KS Equity,HYUNDAI STEEL,KR,Common Stock,5.43B,25.82B,37.99B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
1605 TT Equity,WALSIN LIHWA,TW,Common Stock,5.27B,8.47B,13.49B,--,Electronic and Electrical Equipment,Electrical Components,Electrical Equipment,Electrical Components & Equipment,Steel,Steel Producers,--,--
