CompanyName,FirstAnnualRevenue
ALLKEM PTY LTD,1000000001
GALAXY RESOURCES PTY LTD,1000000001
BROAD CONSTRUCTION PTY LTD,1000000001
BROAD GROUP HOLDINGS PTY LTD,1000000001
CIMIC GROUP INVESTMENTS NO. 2 PTY LIMITED,1000000001
CIMIC GROUP INVESTMENTS PTY LIMITED,1000000001
CIMIC GROUP LIMITED,1000000001
CPB CONTRACTORS PTY LIMITED,1000000001
HOCHTIEF AUSTRALIA HOLDINGS LIMITED,1000000001
MACA Civil Pty Ltd,1000000001
MACA Limited,1000000001
MACA MINING PTY LTD,1000000001
MACA Plant Pty Ltd,1000000001
PYBAR MINING SERVICES PTY LTD,1000000001
RTL Mining and Earthworks Pty Ltd,1000000001
SEDGMAN PTY LIMITED,1000000001
THIESS GROUP FINANCE PTY LTD,1000000001
THIESS GROUP HOLDINGS PTY LTD,1000000001
THIESS GROUP INVESTMENTS PTY LTD,1000000001
THIESS MIDCO HOLDINGS PTY LTD,1000000001
THIESS PTY LTD,1000000001
THIESS SQ HOLDINGS PTY LTD,1000000001
UGL ENGINEERING PTY LIMITED,1000000001
UGL OPERATIONS AND MAINTENANCE PTY LIMITED,1000000001
UGL PTY LIMITED,1000000001
UGL RAIL SERVICES PTY LIMITED,1000000001
UGL REGIONAL LINX PTY LTD,1000000001
UGL UNIPART RAIL SERVICES PTY LTD,1000000001
CONDAMINE POWER STATION PTY LTD,1000000001
Powershop Australia Pty Limited,1000000001
QGC COMMON FACILITIES COMPANY PTY LTD,1000000001
QGC MIDSTREAM HOLDINGS PTY LTD,1000000001
QGC MIDSTREAM INVESTMENTS PTY LTD,1000000001
QGC PTY LIMITED,1000000001
QGC TRAIN 1 PTY LTD,1000000001
QGC Train 1 Tolling Pty Ltd,1000000001
QGC TRAIN 2 PTY LTD,1000000001
QGC Train 2 Tolling No.2 Pty Ltd,1000000001
QGC Train 2 Tolling Pty Ltd,1000000001
QGC UPSTREAM HOLDINGS PTY LTD,1000000001
QGC UPSTREAM INVESTMENTS PTY LTD,1000000001
QGC UPSTREAM LIMITED PARTNERSHIP,1000000001
SHELL AUSTRALIA PTY LTD,1000000001
SHELL ENERGY AUSTRALIA PTY LTD,1000000001
SHELL ENERGY ENVIRONMENTAL PRODUCTS AUSTRALIA PTY LTD,1000000001
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,1000000001
SHELL ENERGY OPERATIONS PTY LTD,1000000001
SHELL ENERGY RETAIL PTY LTD,1000000001
Tianqi Lithium Energy Australia Pty Ltd,1000000001
NICKEL INDUSTRIES LIMITED,1000000001
KOPPERS CARBON MATERIALS & CHEMICALS PTY LTD,225000000
DOW CHEMICAL PTY LTD,225000000
DOW PERFORMANCE MATERIALS PTY LTD,225000000
SENEX ENERGY PTY LTD,550000000
SENEX HOLDINGS PTY LTD,550000000
GMA GARNET PTY LTD,175000000
WINDFIELD HOLDINGS PTY LTD,1000000001
MODEC,175000000
Inc.,175000000
MODEC MANAGEMENT SERVICES PTE.LTD.,175000000
EG GROUP AUSTRALIA PTY LTD,325000000
AIR LIQUIDE AUSTRALIA LIMITED,425000000
DELTA POWER & ENERGY PTY LTD,850000000
ARROW ENERGY HOLDINGS PTY LTD,850000000
BARRICK AFRICAN COPPER PTY LIMITED,1000000001
BARRICK COPPER OVERSEAS PTY LIMITED,1000000001
BARRICK RESOURCES PTY LIMITED,1000000001
DAMPIER COAL PROPRIETARY LIMITED,1000000001
KERLONG COKING COAL PTY LTD,1000000001
METRES PTY LTD,1000000001
STANMORE BOWEN COAL PTY LTD,1000000001
STANMORE IP COAL PTY LTD,1000000001
STANMORE IP SOUTH PTY LTD,1000000001
STANMORE RESOURCES LIMITED,1000000001
STANMORE SMC HOLDINGS PTY LTD,1000000001
STANMORE SMC PTY LTD,1000000001
STANMORE WOTONGA PTY LTD,1000000001
TOKYO GAS AUSTRALIA PTY LTD,225000000
BRADKEN PTY LIMITED,950000000
DRA APAC HOLDINGS PTY LTD,950000000
DRA GLOBAL LIMITED,950000000
WEST AFRICAN RESOURCES LTD,750000000
Album Investment Pte Ltd,1000000001
Album Resources Pte Ltd,1000000001
MMG AUSTRALIA LIMITED,1000000001
MMG DUGALD RIVER PTY LTD,1000000001
MMG LIMITED,1000000001
CK WILLIAM AUSTRALIA BIDCO PTY LTD,1000000001
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,1000000001
DUET COMPANY PTY LIMITED,1000000001
The Trustee for DIVERSIFIED UTILITY AND ENERGY TRUST 1,1000000001
CHEETHAM SALT LIMITED,125000000
TRI-STAR E&P PTY LTD,125000000
PANAUST LIMITED,950000000
VENTIA SERVICES GROUP LIMITED,1000000001
KAROON ENERGY LTD,1000000001
The Trustee for GYPSUM RESOURCES TRUST,125000000
BURRUP TRAIN 1 PTY LTD,1000000001
WOODSIDE BURRUP PTY. LTD.,1000000001
WOODSIDE ENERGY PTY LTD,1000000001
WOODSIDE ENERGY GROUP LTD,1000000001
WOODSIDE ENERGY JULIMAR PTY LTD,1000000001
WOODSIDE ENERGY LTD.,1000000001
FUCHS LUBRICANTS PTY LTD,425000000
BOART LONGYEAR AUSTRALIA PTY LTD,225000000
BOART LONGYEAR DRILLING PRODUCTS AUSTRALIA PTY LTD,225000000
Syrah Resources Limited,50000000
ALCOA AUSTRALIAN HOLDINGS PTY LTD,1000000001
Alcoa of Australia Limited,1000000001
OSAKA GAS AUSTRALIA PTY LTD,125000000
Osaka Gas Gorgon Pty Ltd,125000000
ALBEMARLE LITHIUM PTY LTD,550000000
ALBEMARLE WODGINA PTY LTD,550000000
METROPOLITAN COLLIERIES PTY. LTD.,225000000
PEABODY AUSTRALIA MINING PTY LTD,225000000
PEABODY COALSALES PACIFIC PTY LTD,225000000
PEABODY COPPABELLA PTY LTD,225000000
PEABODY ENERGY AUSTRALIA PCI PTY LTD,225000000
PEABODY ENERGY AUSTRALIA PTY LTD,225000000
Peabody Investments Corp.,225000000
WAMBO COAL PTY LIMITED,225000000
Wilpinjong Coal Pty Ltd,225000000
ENERGY MATRIX GROUP PTY LIMITED,375000000
AMCI Pty Ltd,125000000
ONESUBSEA AUSTRALIA HOLDINGS PTY LTD,1000000001
ONESUBSEA AUSTRALIA PTY LTD,1000000001
SLB AUSTRALIA HOLDINGS PTY LTD,1000000001
VALMONT AUSTRALIA PTY LTD,475000000
A.C.N. 630 698 716 PTY LTD,175000000
GRAYMONT PTY LTD,175000000
FOSTERVILLE GOLD MINE PTY LTD,1000000001
KIRKLAND LAKE GOLD AUSTRALIA PTY LTD,1000000001
KIRKLAND LAKE GOLD VICTORIA HOLDINGS PTY LTD,1000000001
Earthling Investments Pty Ltd,1000000001
LIBERTY OIL AUSTRALIA HOLDINGS PTY LTD,1000000001
LIBERTY OIL AUSTRALIA PTY LTD,1000000001
LIBERTY OIL HOLDINGS PTY LTD,1000000001
Mogas Regional Pty Ltd,1000000001
ON THE RUN PTY LTD,1000000001
OTR 330 PTY LTD,1000000001
OTR ENERGY PTY LTD,1000000001
RELIABLE PETROLEUM PTY LTD,1000000001
VIVA ENERGY AUSTRALIA PTY LTD,1000000001
VIVA ENERGY AVIATION PTY LTD,1000000001
VIVA ENERGY GROUP LIMITED,1000000001
VIVA ENERGY HOLDING PTY LTD,1000000001
VIVA ENERGY POLYMERS HOLDINGS PTY LTD,1000000001
VIVA ENERGY POLYMERS PTY LTD,1000000001
VIVA ENERGY REFINING PTY LTD,1000000001
VIVA ENERGY RETAIL PTY LTD,1000000001
VIVA ENERGY RETAIL SMGB PTY LTD,1000000001
CHAMPION IRON LIMITED,1000000001
MARUBENI-ITOCHU STEEL OCEANIA PTY LTD,125000000
ALCAN HOLDINGS AUSTRALIA PTY LIMITED,1000000001
ALCAN PRIMARY METAL AUSTRALIA PTY LTD,1000000001
ALCAN SOUTH PACIFIC PTY LTD,1000000001
AUSTRALIAN COAL HOLDINGS PTY. LIMITED,1000000001
BOYNE SMELTERS LIMITED,1000000001
CATHJOH HOLDINGS PTY LIMITED,1000000001
CHANNAR MINING PTY. LIMITED,1000000001
DAMPIER SALT LIMITED,1000000001
GPS ENERGY PTY LIMITED,1000000001
GPS NOMINEE PTY LIMITED,1000000001
HAMERSLEY HOLDINGS LIMITED,1000000001
HAMERSLEY IRON PTY. LIMITED,1000000001
HAMERSLEY IRON - YANDI PTY LIMITED,1000000001
Hamersley WA Pty Ltd,1000000001
HOPE DOWNS MARKETING COMPANY PTY LTD,1000000001
MOUNT BRUCE MINING PTY LIMITED,1000000001
NORTH LIMITED,1000000001
NORTH MINING LIMITED,1000000001
PACIFIC ALUMINIUM PTY. LIMITED,1000000001
PECHINEY CONSOLIDATED AUSTRALIA PTY LIMITED,1000000001
PEKO-WALLSEND PTY LTD,1000000001
Pilbara Iron Company Pty Ltd,1000000001
Pilbara Iron Pty Ltd,1000000001
QUEENSLAND ALUMINA LIMITED,1000000001
RIO TINTO ALUMINIUM LIMITED,1000000001
RIO TINTO ALUMINIUM BELL BAY SALES PTY LIMITED,1000000001
RIO TINTO INVESTMENTS ONE PTY LIMITED,1000000001
RIO TINTO INVESTMENTS TWO PTY LIMITED,1000000001
RIO TINTO LIMITED,1000000001
RIO TINTO SERVICES LIMITED,1000000001
Rio Tinto Shared Services Pty Limited,1000000001
ROBE RIVER LIMITED,1000000001
ROBE RIVER MINING CO. PTY. LTD.,1000000001
RTA AAL AUSTRALIA LIMITED,1000000001
RTA BOYNE LIMITED,1000000001
RTA HOLDCO AUSTRALIA 1 PTY LTD,1000000001
RTA HOLDCO AUSTRALIA 5 PTY LTD,1000000001
RTA PACIFIC PTY LIMITED,1000000001
RTA Weipa Pty Ltd,1000000001
RTA Yarwun Pty Ltd,1000000001
RTPDS AUS PTY LTD,1000000001
SWISS ALUMINIUM AUSTRALIA LIMITED,1000000001
TECHNOLOGICAL RESOURCES PTY. LIMITED,1000000001
FLUOR AUSTRALIA PTY LTD,225000000
Boggabri Coal Pty Limited,1000000001
IDEMITSU AUSTRALIA PTY LTD,1000000001
Capstone Copper Corp.,1000000001
KESTREL COAL GROUP PTY LTD,1000000001
KESTREL COAL HOLDINGS PTY LTD,1000000001
KESTREL COAL MIDCO PTY LTD,1000000001
KESTREL COAL PTY LIMITED,1000000001
KESTREL COAL RESOURCES PTY LTD,1000000001
KESTREL COAL SALES PTY LIMITED,1000000001
KESTREL COAL SUBSIDIARY PTY LTD,1000000001
DWYER ENGINEERING & CONSTRUCTION PTY LTD,50000000
JERA AUSTRALIA PTY LTD,125000000
NESTE AUSTRALIA PTY LTD,1000000001
NESTE CORPORATION,1000000001
SIBANYE AUSTRALIA PTY LTD,325000000
NYRSTAR AUSTRALIA PTY LTD,1000000001
NYRSTAR HOBART PTY LTD,1000000001
NYRSTAR PORT PIRIE PTY LTD,1000000001
Nyrstar Sales &amp; Marketing AG,1000000001
BIG BEN HOLDINGS PTY. LIMITED,550000000
BAKER HUGHES AUSTRALIA PTY. LIMITED,1000000001
BAKER HUGHES GROUP AUSTRALIA PTY LTD,1000000001
BAKER HUGHES SERVICES AUSTRALIA PTY LTD,1000000001
COBAR MANAGEMENT PTY. LIMITED,375000000
METALS ACQUISITION CORP. PTY LTD,375000000
ILUKA MIDWEST LIMITED,1000000001
ILUKA RESOURCES LIMITED,1000000001
OceanaGold Corporation,1000000001
OCEANA GOLD PTY LTD,1000000001
MACH AUSTRALIA HOLDINGS PTY LTD,950000000
MACH ENERGY AUSTRALIA PTY LTD,950000000
RGF STAFFING ANZ PTY LTD,1000000001
PORT WARATAH COAL SERVICES LTD,425000000
JELLINBAH GROUP PTY LTD,1000000001
DIVERSEY AUSTRALIA PTY. LIMITED,50000000
INNOVATIVE WATER CARE INTERNATIONAL PTY LTD,50000000
SOLENIS AUSTRALIA PTY LTD,50000000
GROUNDED CONSTRUCTION GROUP PTY LTD,175000000
AUSTRALIAN TERMINAL OPERATIONS MANAGEMENT PTY LTD,125000000
Coranar Pty Ltd,225000000
J-POWER AUSTRALIA PTY. LTD.,750000000
THYSSENKRUPP MATERIALS AUSTRALIA PTY LTD,275000000
AGRYL HOLDINGS LIMITED,1000000001
MEDISUP SECURITIES LIMITED,1000000001
NUFARM AUSTRALIA LIMITED,1000000001
NUFARM LIMITED,1000000001
NUSEED GLOBAL HOLDINGS PTY LTD,1000000001
NUSEED INTERNATIONAL HOLDINGS PTY LTD,1000000001
SIEMENS LTD.,325000000
IX INFRASTRUCTURE PTY LTD,1000000001
IXOM HOLDCO PTY LTD,1000000001
IXOM HOLDINGS PTY LTD,1000000001
IXOM INTERNATIONAL HOLDINGS PTY LTD,1000000001
IXOM OPERATIONS PTY LTD,1000000001
IXOM PTY LTD,1000000001
ROCKWELL AUTOMATION AUSTRALIA LTD,225000000
JAPAN AUSTRALIA LNG PTY. LTD.,1000000001
DCL CORP PTY LTD,275000000
HAZELL BROS GROUP PTY LTD,375000000
SKF AUSTRALIA PTY. LTD.,125000000
COVENTRY GROUP LIMITED,375000000
SYNACO GLOBAL RECRUITMENT PTY LTD,125000000
SAYONA MINING LIMITED,225000000
CRUSHING SERVICES INTERNATIONAL PTY LTD,1000000001
IRON RESOURCES PTY LTD,1000000001
LITHCO LITHIUM CO LTD,1000000001
LITHCO NO.2 PTY LTD,1000000001
MINERAL RESOURCES TRANSPORT PTY LTD,1000000001
MRL ASSET MANAGEMENT PTY LTD,1000000001
MT MARION HOLDINGS PTY LTD,1000000001
MT MARION LITHIUM PTY LTD,1000000001
POLARIS METALS PTY LTD,1000000001
PROCESS MINERALS INTERNATIONAL PTY LTD,1000000001
RESOURCE DEVELOPMENT GROUP LIMITED,1000000001
WODGINA LITHIUM PTY LTD,1000000001
WONMUNNA IRON ORE PTY LTD,1000000001
YILGARN IRON PTY LTD,1000000001
ENVIROPACIFIC SERVICES LIMITED,275000000
CATEGORY 5 LABOUR MANAGEMENT PTY LTD,275000000
AMPCONTROL BURN BRITE PTY LTD,425000000
AMPCONTROL CABLES NSW PTY LTD,425000000
AMPCONTROL CSM PTY LIMITED,425000000
AMPCONTROL INTERNATIONAL HOLDINGS PTY LTD,425000000
AMPCONTROL LIMITED,425000000
AMPCONTROL PTY LIMITED,425000000
AMPCONTROL SERVICE PTY LTD,425000000
AMPCONTROL SWG PTY LIMITED,425000000
AMPCONTROL TRANSFORMERS PTY LTD,425000000
Androck Engineering And Mining Pty Ltd,425000000
ATF MINING ELECTRICS PTY LIMITED,425000000
CAPACITOR TECHNOLOGIES PTY LTD,425000000
COMPLETE POWER SOLUTIONS PTY LTD,425000000
RESTECH PTY LIMITED,425000000
VERICO GROUP PTY LTD,425000000
EVZ LIMITED,125000000
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,850000000
VERBREC LIMITED,50000000
ALKANE RESOURCES LTD,175000000
MITCHELL CREEK MINING PTY LTD,175000000
Tomingley Gold Operations Pty Ltd,175000000
AURORA GLOBAL PTY LTD,1000000001
AUSTWIDE COMMUNICATIONS PTY LTD,1000000001
LINK CONSTRUCT PTY LTD,1000000001
LINKFORCE CORPORATION PTY LTD,1000000001
LINKFORCE INDUSTRIAL MAINTENANCE PTY LTD,1000000001
The Trustee for Linkforce Work Trust,1000000001
The Trustee for Link Workforce Trust,1000000001
SANWA PTY LTD,475000000
SRG GLOBAL ASSET CARE PTY LTD,1000000001
SRG GLOBAL ASSETS PTY LTD,1000000001
SRG GLOBAL LTD,1000000001
SRG GLOBAL BUILDING PTY LTD,1000000001
SRG GLOBAL CASC PTY LTD,1000000001
SRG GLOBAL CIVIL PTY LTD,1000000001
SRG GLOBAL CORPORATE PTY LTD,1000000001
SRG GLOBAL FACADES PTY LTD,1000000001
SRG GLOBAL INDUSTRIAL SERVICES PTY LTD,1000000001
SRG GLOBAL INFRASTRUCTURE PTY LTD,1000000001
SRG GLOBAL INTEGRATED SERVICES PTY LTD,1000000001
SRG GLOBAL INVESTMENTS PTY LTD,1000000001
SRG GLOBAL LIMITED,1000000001
SRG GLOBAL MINING PTY LTD,1000000001
SRG GLOBAL PRODUCTS PTY LTD,1000000001
SRG GLOBAL SERVICES PTY LTD,1000000001
SRG GLOBAL STRUCTURES PTY LTD,1000000001
The Trustee for SRG Employee Share Trust,1000000001
MINPROVISE INTERNATIONAL PTY LTD,175000000
Enviro Pipes Pty Ltd,125000000
MLG OZ LIMITED,475000000
Emerson Process Management Australia Pty Ltd,325000000
MIDWAY METALS PTY LTD,225000000
U & D COAL LTD,125000000
CAPRICORN METALS LTD,375000000
BASE RESOURCES LIMITED,225000000
AUSTRALIAN STEEL TRADERS PTY LTD,175000000
SQUARE RESOURCES HOLDING PTY LTD,650000000
HILDITCH PTY. LTD.,125000000
The Trustee for Hilditch Oilchem Trust,125000000
The Trustee for Hilditch Oils Australia Trust,125000000
EMERALD RESOURCES NL,375000000
SAUNDERS INTERNATIONAL LIMITED,225000000
Perseus Mining Limited,1000000001
MACMAHON CONTRACTORS PTY LTD,1000000001
MACMAHON HOLDINGS LIMITED,1000000001
MACMAHON UNDERGROUND PTY LTD,1000000001
ABC REFINERY PTY LIMITED,1000000001
AUSTRALIAN BULLION COMPANY PTY LTD,1000000001
HANCOCK MINERALS PTY LTD,1000000001
HANCOCK PROSPECTING PTY LIMITED,1000000001
HANRINE HOLDINGS PTY LTD,1000000001
HOPE DOWNS IRON ORE PTY LTD,1000000001
REDSTONE CORPORATION PTY LTD,1000000001
BISALLOY STEEL GROUP LTD,175000000
ADCHEM PTY. LTD.,125000000
ROY HILL HOLDINGS PTY LTD,1000000001
DEXPLAN PTY LTD,1000000001
NEW HOPE BENGALLA PTY LTD,1000000001
NEW HOPE CORPORATION LIMITED,1000000001
HARMONY GOLD PTY LIMITED,650000000
ST BARBARA LIMITED,225000000
BELLEVUE GOLD LIMITED,275000000
ATLAS IRON PTY LTD,1000000001
CIVMEC CONSTRUCTION & ENGINEERING PTY LTD,1000000001
CIVMEC HOLDINGS PTY LTD,1000000001
CENTURION TRANSPORT CO. PTY LTD,1000000001
C.F.C. HOLDINGS PTY LTD,1000000001
LEONE FAMILY HOLDINGS PTY LTD,1000000001
WILLIAM ADAMS PTY. LTD.,550000000
CAVPOWER PTY LTD,375000000
BITUMEN IMPORTERS AUSTRALIA PTY LTD,175000000
DGL GROUP LIMITED,475000000
DGL WAREHOUSING & DISTRIBUTION PTY LTD,475000000
REGIS RESOURCES LIMITED,1000000001
VAULT MINERALS LIMITED,650000000
African Underground Mining Services Burkina Faso Sarl,1000000001
AMAX Ltd,1000000001
AUMS Geofields Tanzania Limited Limited),1000000001
Ausdrill Mining Surface Botswana Proprietary Ltd,1000000001
AUSDRILL PTY LTD,1000000001
BARMINCO LIMITED,1000000001
Barminco Mining Services Botswana Proprietary Ltd,1000000001
Barminco Mining Services Canada Limited,1000000001
BTP PARTS PTY LTD,1000000001
DDH 1 DRILLING PTY LIMITED,1000000001
PERENTI LIMITED,1000000001
SMS OPERATIONS PTY LTD,1000000001
Underground Mining Alliance Ltd,1000000001
Lynas Africa Holdings Pty Ltd,475000000
Lynas Africa Limited,475000000
LYNAS KALGOORLIE PTY LTD,475000000
Lynas Malaysia Sdn Bhd,475000000
LYNAS RARE EARTHS LIMITED,475000000
LYNAS SERVICES PTY LTD,475000000
Lynas USA LLC,475000000
MT WELD HOLDINGS LIMITED,475000000
MT WELD MINING PTY LIMITED,475000000
LIBERTY BELL BAY PTY LTD,1000000001
LIBERTY PRIMARY METALS AUSTRALIA PTY LTD,1000000001
MITCHELL SERVICES LIMITED,225000000
BOOM LOGISTICS LTD,275000000
NEPEAN BUILDING and INFRASTRUCTURE PTY LTD,750000000
NEPEAN NO1 PTY LTD,750000000
Mader Contracting Pty Ltd,750000000
MADER GROUP LIMITED,750000000
MADER QUEENSLAND PTY LTD,750000000
ARAGON RESOURCES PTY LTD,750000000
BIG BELL GOLD OPERATIONS PTY LTD,750000000
WESTGOLD MINING SERVICES PTY LTD,750000000
WESTGOLD RESOURCES LIMITED,750000000
CONSOLIDATED MINERALS PTY LIMITED,275000000
PILBARA MANGANESE PTY LTD,275000000
BEACH ENERGY LIMITED,1000000001
CLAREVILLE PTY LIMITED,125000000
Australian Renewable Energy Agency,325000000
AIC COPPER PTY LTD,175000000
AIC MINES LIMITED,175000000
REDOX LIMITED,1000000001
RJ LETTEN TRUST,125000000
OCWEN ENERGY PTY LTD,1000000001
WESTRAC PTY LTD,1000000001
Aston Coal 2 Pty Ltd,1000000001
NARRABRI COAL AUSTRALIA PTY LTD,1000000001
Narrabri Coal Pty Ltd,1000000001
Tarrawonga Coal Sales Pty Ltd,1000000001
WERRIS CREEK COAL SALES PTY LIMITED,1000000001
WHITEHAVEN BLACKWATER PTY LTD,1000000001
WHITEHAVEN COAL LIMITED,1000000001
WHITEHAVEN COAL MINING LIMITED,1000000001
WHITEHAVEN DAUNIA PTY LTD,1000000001
EMECO HOLDINGS LIMITED,850000000
EMECO INTERNATIONAL PTY LIMITED,850000000
FORCE EQUIPMENT PTY LTD,850000000
PIT N PORTAL MINING SERVICES PTY LTD,850000000
GRAYS.COM PTY LTD,325000000
CHICHESTER METALS PTY LTD,1000000001
FMG SOLOMON PTY LTD,1000000001
FORTESCUE LTD,1000000001
THE PILBARA INFRASTRUCTURE PTY LTD,1000000001
MT MAGNET GOLD PTY LTD,850000000
PENNY OPERATIONS PTY LTD,850000000
Ramelius Resources Ltd,850000000
TAMPIA OPERATIONS PTY LTD,850000000
